number,description,gauge,set,image
2035,"locomotive, 2-6-4",0-27,1469WS,2035_web.jpg
2036,"locomotive, 2-6-4",0-27,1463W,2036_web.jpg
2037,"locomotive, 2-6-4",0-27,1511S,2037_web.jpg
2046,"locomotive, 4-6-4",0-27,1473WS,2046_web.jpg
2055,"locomotive, 4-6-4",0-27,1502WS,2055_web.jpg
2065,"locomotive, 4-6-4 w/ feedwater heater",0-27,1515WS,2065_web.jpg
2321,"locomotive, FM, Lackawanna, two motors",O,2219W,2321_web.jpg
2322,"locomotive, FM, Virginian, two motors",O,12820,2322_web.jpg
2328,"locomotive, diesel, GP-7, Burlington",0-27,1562W,2328_web.jpg
2329,"locomotive, electric rectifier, Virginia ",O,2505W,2329_web.jpg
2330,"locomotive, GG1, two motor, green",O,2159W,2330_web.jpg
2331,"locomotive, FM, Virginian, two motors",O,2251W,2331_web.jpg
2332,"locomotive, GG1, single motor",O,2124W,2332_web.jpg
2337,"locomotive, diesel, GP-7, Wabash",0-27,1601W,2337_web.jpg
2338,"locomotive, diesel, GP-7, Milwaukee Road",O,2235W,2338_web.jpg
2339,"locomotive, diesel, GP-7, Wabash",O,2275W,2339_web.jpg
2340,"locomotive, GG1, Pennsylvania, tuscan, two motors",O,2254W,2340_web.jpg
2341,"locomotive, FM, Jersey Central, two motors",O,2270W,2341_web.jpg
2346,"locomotive, diesel, GP-9, Boston and Maine",O,12800,2346_web.jpg
2348,"locomotive, diesel, GP-9, M & SL",O,2501W,2348_web.jpg
2349,"locomotive, diesel, GP-9, Northern Pacific",0-27,1623W,2349_web.jpg
2350,"locomotive, EP-5, electric, New Haven",O,2259W,2350_web.jpg
2351,"locomotive, EP-5, electric, Milwaukee Road",O,2287W,2351_web.jpg
2352,"locomotive, EP-5, electric, Pennsylvania",O,2511W,2352_web.jpg
2357,"caboose, illuminated, SP type",,2133W,
2358,"locomotive, EP-5, electric, Great Northern",O,2533W,2358_web.jpg
2359,"locomotive, diesel, GP-9, Boston and Maine",O,2572,2359_web.jpg
2360,"locomotive, GG1, Pennsylvania, tuscan, two motors",O,2274W,2360_web.jpg
2365,"locomotive, diesel, GP-7, Chesapeake & Ohio",0-27,11268,2365_web.jpg
2400,"passenger car, pullman, Maplewood, green",,1430WS,
2401,"passenger car, observation, Hillside, green",,1430WS,
2402,"passenger car, pullman, Chatham, green",,1430WS,
2404,"passenger car, vista dome, Santa Fe, silver with blue letters",0-27,11490,
