number,description,gauge,set,image
2344P,"locomotive, F3, pwr A unit, NYC, two motors",O,2171W,
2344T,"locomotive, F3, dummy A unit, NYC",O,2171W,
234T,"tender, non-whistling, Lionel Lines",,11750,
234W,"tender, whistling, Lionel Lines",,11375,234W_web.jpg
2353C,"locomotive, F3, B unit, dummy, SF",O,2207W,
2353P,"locomotive, F3, A unit, powered, SF, two motors",O,2190W-,
2353T,"locomotive, F3, A unit, dummy, SF",O,2190W-,
2354C,"locomotive, F3, B unit, dummy, NYC",O,2209W,
2354P,"locomotive, F3, A unit, powered, NYC, two motors",O,2209W,
2354T,"locomotive, F3, A unit, dummy, NYC",O,2209W,
2356C,"locomotive, F3, B unit, dummy, Southern",O,2231W,
2356P,"locomotive, F3, A unit, powered, Southern, two motors",O,2231W,
2356T,"locomotive, F3, A unit, dummy, Southern",O,2231W,
2360-25,"locomotive, GG1, Pennsylvania, green, two motors",O,2271W,
2363C,"locomotive, F3, B unit, dummy, Illinois, Central",O,2239W,
2363P,"locomotive, F3, A unit, powered, Illinois Central, two motors",O,2239W,
2367C,"locomotive, F3, B unit, dummy, Wabash",O,2244W,
2367P,"locomotive, F3, A unit, powered, Wabash, two motors",O,2244W,
2368C,"locomotive, F3, B unit, dummy, B&O",O,2269W,
2368P,"locomotive, F3, A unit, powered, B&O, two motors",O,2269W,
2373P,"locomotive, F3, A unit, powered, Canadian Pacific, two motors",O,2296W,
2373T,"locomotive, F3, A unit, dummy, Canadian Pacific",O,2296W,
2378C,"locomotive, F3, B unit, dummy, Milwaukee Road",O,2273W,
2378P,"locomotive, F3, A unit, powered, Milwaukee Road, two motors",O,2273W,
2379C,"locomotive, F3, B unit, dummy, Rio Grande",O,2291W,
2379P,"locomotive, F3, A unit, powered, Rio Grande, two motors",O,2291W,
2383P,"locomotive, F3, A unit, powered, Santa Fe, two motors",O,2523W,
2383T,"locomotive, F3, A unit, dummy, Santa Fe",O,2523W,
2403B,"tender, slopback, bell ringing",,1407B,2403B.jpg
2426W,"tender, whistling ",O,2113WS,2426W_web.jpg
242T,"tender, non-whistling",,11540,
243W,"tender, non-whistling",,1631WS,243W_web.jpg
2442-,"passenger car, Vista Dome, Clifton, silver w/ red letters/stripes",0-27,,#N/A
2444-,"passenger car, pullman, Newark, silver w/ red letters/stripes",0-27,,#N/A
2446-,"passenger car, observation, Summit, silver w/ red letters/stripes",0-27,,#N/A
244T,"tender, non-whistling, slope back",,1627S,
2452X,gondola,,1401,
2452X,gondola  ,,1401,
2466T,"tender, non-whistling",,1402,
2466W,"tender, whistling ",,463W,2466W_web.jpg
2466WX,"tender, whistling ",,1411W,
247T,"tender, non-whistling, B & O",,1613S,
250T,"tender, non-whistling, Pennsylvania",,1573,
250T,"tender, non-whistling, Pennsylvania, red-striped",,1573,
2671W,"tender, whistling, streamline, Pennsy, 12 wheel",,2140WS,2671W_web.jpg
2671WX,"tender, whistling, streamline, Lionel Lines, 12 wheel",,2163WS,
3349-100,"flatcar, turbo missile launcher",,11385,
3461-25,"log car, operating, green",,1519WS,
3470-100,aerial target launcher,,11385,
3494-1,"boxcar, operating, Pacemaker",,1541WS,
3494-275,"boxcar, operating, State of Maine",,1559W,
3562-25,"barrel car, operating, grey",,2217WS,
3562-50,"barrel car, operating, yellow",,1533WS,
3562-75,"barrel car, operating, orange",,2281W,
3619-100,"reconnaissance, copter car",,11385,
3830-75,flatcar with operating submarine,,11385,
39-15,operating packet,,2521WS,
39-20,operating packet,,2289WS,
39-25,operating packet,,2527,
39-35,operating packet,,2535WS,
39-5,operating packet,,2292WS,
4424W (1946),"tender, whistling, Electronic Set",,4109WS,
4671W  ,"tender, whistling, Electronic Set",,,#N/A
4671W (1947),"tender, whistling, Electronic Set",,4109WS,
6001T,"tender, non-whistling",,1461S,
6014-335,"savings bank car, Frisco, white",,11341,
6014-410,"boxcar, Frisco, white",,11740,
6014-85,"boxcar, Frisco, orange with blue lettering",,11730,
6017-100,"caboose, SP type, Boston and Maine",,1615,
6017-185,"caboose, SP type, Santa Fe, gray",,1619W,
6017-200,"caboose, SP type, U.S. Navy",,1633,
6017-235,"caboose, SP type, Santa Fe ",,13018,
6017-50,"caboose, SP type, U.S.M.C.",,1591,
6020W,"tender, whistling, Lionel Lines",,1447WS,6020W_web.jpg
6026T,"tender, non-whistling, Lionel Lines",,1513S,
6026W,"tender, whistling, Lionel Lines",,1503WS,6026W_web.jpg
6042-250,"gondola, unstamped",,11420,
6042-75,"gondola with cable reels, blue",,11201,
6050-110,"bank car, Swift Savings, red",,11278,
6066T,"tender, non-whistling, Lionel Lines",,1465,
6076-100,"hopper, unstamped, gray",,11311,
6076-75,"hopper, Lehigh Valley, black",,11321,
6119-100,"caboose, work, red",,1575,
6119-25,"caboose, work, orange",,1549,
6119-75,"caboose, work, grey",,2277WS,
6142-100,"gondola with two canisters, blue",,11460,
6142-125,"gondola, blue",,11440,
6142-150,"gondola with cable reels, blue or green",,11480,
6142-75,"gondola with two canisters, green",,11450,
6162-25,"gondola with canisters, blue",,1609,
6162-60,"gondola with canisters, Alaskan",,1611,
6167-100,"caboose, SP type, red",,11440,
6167-125,"caboose, SP type, unstamped, red",,11430,
6167-25,"caboose, SP type, unstamped",,11420,
6167-50,"caboose, SP type, unstamped, yellow",,11321,
6167-85,"caboose, SP type, Union Pacific",,11730,
6176-50,"hopper, Lehigh Valley, black",,11440,
6176-75,"hopper, Lehigh Valley, yellow",,11460,
6257-100,"caboose, SP type, red with stack",,11361,
6257X,"caboose, SP  type",,1425B,
6357-50,"caboose, SP type, illuminated",,2555W,
6402-50,"flatcar with cable reels, general type, gray",,11500,
6409-25,"flatcar with pipes, red",,11311,
6414-150,auto loader,,11375,
6417-25,"caboose, porthole, Lionel Lines",,2221WS,
6417-50,"caboose, Lehigh Valley, grey",,2223W,
6419-100,"caboose, work, N & W",,2295WS,
6419-25,"caboose, work",,1521WS,
6419-50,"caboose, work",,2267W,
6427-500,"caboose, Pennsylvania, blue for Girl's set",,1587S,
6427-60,"caboose, Virginian, porthole",,2513W,
6436-100,"hopper, Lehigh Valley, quad",,,#N/A
6436-110,"hopper, Lehigh Valley, quad",,13138,
6436-25,"hopper, Lehigh Valley, maroon, quad",,2235W,
6436-500,"hopper, Lehigh Valley, lilac for Girl's set",,1587S,
6440-,flatcar with vans,,,#N/A
6446-25,"hopper, N & W, grey, covered",,2277WS,
6446-60,"hopper, Lehigh Valley, covered",,13118,
6456-25,"hopper car, Lehigh Valley, grey",,1515WS,
6456-75,"hopper, Lehigh Valley, red enamel paint",,2227W,
6460-25,"crane, red cab",,1523,
6462-125,"gondola with barrels, red",,2223W,
6462-25,"gondola with barrels, green",,1517W,
6462-500,"gondola with canisters, pink for Girl's set",,1587S,
6462-75,"gondola with barrels, red",,1519WS,
6464-1,"box car, Western Pacific",,1505WS,
6464-100,"boxcar, Western Pacific, blue or yellow feather",,2223W,
6464-150,"boxcar, Missouri Pacific",,2247W,
6464-175,"boxcar, Rock Island",,2217WS,
6464-225,"boxcar, Southern Pacific",,1517W,
6464-25,"boxcar, Great Northern",,2203WS,
6464-275,"boxcar, State of Maine",,1537WS,
6464-300,"boxcar, Rutland",,2243W,
6464-375,"boxcar, Central of Georgia",,12840,
6464-400,"boxcar, B&O",,1555WS,
6464-425,"boxcar, New Haven",,1553W,
6464-450,"boxcar, Great Northern",,1589WS,
6464-475,"boxcar, Boston & Maine",,1577S,
6464-50,"boxcar, M & St L",,2201WS,
6464-500,"boxcar, Timken",,2287W,
6464-510,"boxcar, Pacemaker, blue-green for Girl's set",,1587S,
6464-515,"boxcar, Katy, yellow for Girl's set",,1587S,
6464-525,"boxcar, M & St L",,1585W,
6464-650,"boxcar, Rio Grande",,1581,
6464-725,"boxcar, New Haven, orange",,13068,
6464-75,"boxcar, Rock Island",,2211WS,
6464-825,"boxcar, Alaska",,2539WS,
6464-900,"boxcar, NYC",,2555W,
6465-150,"tank car, two dome, orange, Lionel Lines",,11351,
6466T,"tender, non-whistling",,1477S,
6466W ,"tender, whistling, Lionel Lines",,,#N/A
6466WX,"tender, whistling, Lionel Lines",,1426WS,
6468-25,"automobile car, double door, New Haven",,2263W,
6468X,"automobile car, B&O double door, tuscan",,,#N/A
6476-75,"hopper, Lehigh Valley, black or red",,11375,
6560-25,"crane, red cab",,2235W,
6562-50,"gondola with canisters, black",,2283WS,
6562-50,"gondola with canisters, black",,2283WS,
6654W,"tender, whistling, tinplate Lionel Lines",0-27,1423W,6654W_web.jpg
671R,"locomotive, turbine 6-8-6 Electronic Set",O,4109WS,
671W,"tender, whistling",,2125WS,671W_web.jpg
6822-50,searchlight car,,11375,
736W,"tender, whistling, Pennsylvania",,2571,736W_web.jpg
746W,"tender, whistling, N & W",O,2295WS,746W_web.jpg
773W,"tender, whistling, NYC",,13150,773W_web.jpg
ECU-1,Electronic Control Unit,,4109WS,
HO set,matches components of super O set 2555W,0-27,2555W,
LW,"transformer, 125 watt",,12710,
RCS,"track, uncoupling/operating, 5 rail",O,463W,
S,"transformer, 80 watts",,1434WS,
T022,"track, switches, remote control, without constant voltage plug",O,12850,
UCS,"track, uncoupling/operating, 5 rail w/ electromagnet",O,2147WS,
unlettered,"caboose, SP type without end rails, red or yellow",,1123,
ZW,"transformer, 275 watt",,13150,
